sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
liddel14,,,,0,,"Amati Lusitani curationum medicinalium centuriae duae, prima & secunda",,"Castelo Branco, João Rodrigues de#119046776",,,,,,,,Lyon,,Rouille,1567,,,Therapeutik,,Book,lat,GBV,412046296,"Aberdeen, Sir Duncan Rice Library","pi 615 Rod 3²",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401226,,,,1,,,
liddel15,,,,0,,"Instrumentum sinuum seu primi mobilis",,"Apian, Petrus#118645455",,,,,,,,Nürnberg,,Petreius,1541,,,Astronomie,,Book,lat,VD16,"A 3088","Aberdeen, Sir Duncan Rice Library","pi f5108 Fou",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401046,,,,1,,,
liddel16,,,,0,,"Cosmographia Petri Apiani, per Gemmam Frisium apud Lovanienses medicum & mathematicum insignem, iam demum ab omnibus vindicata mendis, ac nonnullis quoque locis aucta. Additis eiusdem argumenti libellis ipsius Gemmae Frisii",,"Apian, Petrus#118645455",,,,,,,,Antwerpen,,Bontio,1550,,,Geographie,,Book,lat,GBV,565211986,"Aberdeen, Sir Duncan Rice Library","pi 525 Api c 1",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401191,,,,1,,,
liddel17,,,,0,,"De recta curandorum vulnerum ratione, et aliis eius artis praeceptis libri II",,"Arcaeus, Franciscus#129832286",,,,,,,,Antwerpen,,Plantin,1574,,,Therapeutik,,Book,lat,GBV,18700790X,"Aberdeen, Sir Duncan Rice Library","pi 615 Arc",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401201,,,,1,,,
liddel18,,,,0,,"De morbis libri XIV",,"Argenterio, Giovanni#124915248",,,,,,,,Lyon,,Forus,1558,,,Pathologie,,Book,lat,GBV,312705727,"Aberdeen, Sir Duncan Rice Library","pi 616 Arg",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},489771,,,,1,,,
liddel19,,,,0,,"Operum Aristotelis tomus I(II)",,Aristoteles#118650130,,,,,,,,Genf,,"Laimarie, Guillaume de",1597,,,Philosophie,,Book,grc;lat,GBV,15122773X,"Aberdeen, Sir Duncan Rice Library","pi 88851 L",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},860791,,,,1,,,
liddel20,,,,1,,"Aristotelis Organon : hoc est, libri ad logicam disciplinam pertinentes. Addita in fine varia locorum lectio",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1585,,,Philosophie,,Book,grc;lat,VD16,"P 4279","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.1",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1491141,,,,1,,,
liddel21,,,,2,,"Aristotelis Artis rhetoricae libri III. Rhetorices ad Alexandrum lib. I. De arte poetica liber I. : Addita in fine varia locorum lectio, partim e probatioribus editionibus; partim e Petri Victorij commentarijs, & aliorum doctorum virorum obseruationibus",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1584,,,Rhetorik,,Book,grc,VD16,"A 3345","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.1",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1491172,,,,1,,,
liddel22,,,,0,,"Aristotelis Ethicorum, sive De moribus, ad Nicomachum libri decem",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1584,,,Philosophie,,Book,grc,VD16,"A 3401","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.2",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1483410,,,,1,,,
liddel23,,,,1,,"Aristotelis Ethicorum magnoru[m] libri 2, Ethicoru[m] Eudemiorum l. 7 ; De virtutibus [et] vitijs l. 1. : Theophrasti Characteres ethici : Alexandri Aphrodis. Quod virtus non sufficiat ad beatitudinem",,Aristoteles#118650130,,,,,,,,"Frankfurt am Main",,Wechel,1584,,,Philosophie,,Book,grc;lat,VD16,"A 3604","Aberdeen, Sir Duncan Rice Library","pi 88851 S 1.2",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1483411,,,,1,,,
